baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval1000,setInterval1000,setInterval1000,setInterval1000,setInterval1000,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
8.09714,11.2523,100,0.366578,8,7.49929,11.0561,1.04,0.0798501,9,5.75642,13.2664,0.16,0.0746226,7,9.93426,11.5346,1.44,0.116027,9,11.2633,11.7805,1.49714,0.125469,9,11.3489,11.3827,1.53143,0.138985,9,
10.5579,35.2927,100,0.532874,7,5.93258,33.0186,1.04,0.0599376,9,4.67295,32.1665,0.16,0.0585346,7,6.05614,32.6771,1.30286,0.0686354,9,4.18381,37.1227,1.18857,0.070623,6,4.94662,32.0629,0.988571,0.070872,7,
5.142,22.8959,100,0.382194,5,3.52789,22.8961,1.04,0.0620014,5,4.26829,22.9291,0.16,0.0633092,6,3.55751,22.5692,1.04571,0.0732454,5,3.50873,22.7663,1.05143,0.0642538,5,3.55843,22.6302,0.36,0.061655,5,
5.7748,13.802,100,0.328536,6,3.4858,13.8968,1.04,0.0644406,5,3.55186,14.2951,0.16,0.0689606,5,4.22468,13.8069,1.05714,0.0722387,6,4.23972,13.828,1.07429,0.0706717,6,3.60076,13.9078,0.497143,0.0656272,5,
5.93088,22.1521,100,0.344843,6,4.21264,22.2058,1.04,0.062037,6,4.34365,22.7189,0.16,0.0638007,6,4.34042,22.2045,1.06857,0.0693095,6,4.327,22.2051,1.08571,0.070502,6,4.32397,22.3325,0.422857,0.0630855,6,
5.21984,70.8149,100,0.382652,5,3.57235,71.7101,1.04,0.0620358,5,3.58511,69.0213,0.16,0.058688,5,5.21645,70.6919,1.38286,0.0731349,7,3.65697,70.2162,1.28,0.0705534,5,3.65352,70.9456,1.30286,0.0735492,5,
5.82087,53.4975,100,0.435453,5,4.14393,53.3945,1.04,0.0792324,5,4.13495,53.5641,0.16,0.0744264,5,4.24271,53.4607,1.06857,0.0926516,5,6.10177,53.3093,1.05714,0.124879,5,6.09062,53.4549,0.377143,0.115067,5,
11.1814,27.6008,100,0.696269,6,7.65247,27.0489,1.04,0.116522,6,5.88181,27.6015,0.16,0.106238,5,4.37791,26.3145,1.22857,0.0710775,6,4.38043,26.8544,1.24,0.0699338,6,4.33737,27.5133,1.25143,0.0730643,6,
4.54303,56.0238,100,0.310375,5,3.40676,56.6722,1.04,0.0650034,5,3.37009,56.3047,0.16,0.0573812,5,3.39707,56.0975,1.07429,0.0661618,5,3.45899,56.1822,1.08571,0.0705472,5,3.46305,56.6562,0.6,0.0645752,5,
9.84717,12.207,100,0.432225,9,5.84024,12.942,1.04,0.0641703,8,6.55959,12.3549,0.16,0.062146,9,5.81939,13.9712,1.24571,0.0716305,8,8.79201,11.7021,1.40571,0.0713502,12,7.44275,11.8852,0.857143,0.0718561,10,
