baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1771.69,0.920445,100,178.155,6,970.322,0.920445,20.0357,41.7747,6,764.668,0.920445,5.03571,12.0847,6,764.817,0.920445,0.142857,4.4995,6,763.05,0.920445,2.03656,8.8045,6,724.373,0.920445,0.826531,7.82267,6,
1397.3,0.924628,100,167.408,5,729.577,0.924594,20.0357,34.4282,5,625.573,0.924419,5.03571,16.6978,5,426.942,0.815604,0.142857,2.94425,4,623.417,0.924462,2.0602,6.496,5,605.888,0.924538,0.814286,5.1898,5,
2170.27,0.925525,100,189.841,7,1179.02,0.925612,20.0357,43.276,7,961.458,0.925552,5.03571,14.4327,7,670.083,0.925659,0.142857,4.7478,5,644.337,0.923544,2.04694,7.2982,5,848.749,0.925671,0.932945,7.27229,7,
1266.05,0.917498,100,148.972,5,684.14,0.917498,20.0357,33.334,5,526.565,0.917498,5.03571,9.4636,5,556.527,0.917503,0.142857,7.066,5,538.712,0.917498,2.03571,5.4042,5,537.926,0.917498,0.638776,4.431,5,
1754.69,0.915247,100,170.263,6,943.896,0.915248,20.0357,35.4732,6,806.621,0.915248,5.03571,13.1492,6,738.168,0.915248,0.142857,2.86133,6,748.261,0.915248,2.03571,6.10083,6,745.248,0.915248,0.545918,6.171,6,
2624.2,0.777328,100,218.168,8,718.099,0.455268,20.0357,62.2855,4,505.015,0.458223,5.03571,15.72,4,513.972,0.453515,0.142857,10.2612,4,1024.54,0.874952,4.29656,18.157,8,643.416,0.479125,4.60204,36.1115,4,
1112.3,0.878232,100,174.759,4,602.833,0.867304,20.0357,43.6708,4,493.298,0.8673,5.03571,13.5758,4,330.945,0.753262,0.142857,2.82033,3,470.742,0.867297,2.03699,13.1742,4,477.932,0.867286,1.32908,9.33825,4,
1726.85,0.915555,100,167.935,6,897.144,0.915557,20.0357,34.8527,6,748.508,0.915548,5.03571,10.7798,6,716.483,0.915547,0.142857,6.2005,6,764.877,0.915548,2.03827,6.30467,6,744.518,0.915548,0.751701,5.93283,6,
1445.53,0.459943,100,251.625,4,636.813,0.435698,20.0357,58.6275,4,1001.72,0.697827,5.03571,17.0954,8,549.777,0.589632,0.142857,3.3072,5,496.871,0.478736,2.17092,15.409,4,976.685,0.703976,3.46046,20.4369,8,
1679.03,0.918649,100,165.676,6,912.597,0.91865,20.0357,37.943,6,831.005,0.91865,5.03571,16.1528,6,373.339,0.654332,0.142857,10.5373,3,770.159,0.91865,2.03656,10.0363,6,729.57,0.91865,0.767007,6.94183,6,
1727.7,0.916498,100,168.215,6,929.475,0.916507,20.0357,37.3473,6,775.763,0.916488,5.03571,11.6588,6,768.373,0.916489,0.142857,5.89633,6,771.746,0.916488,2.03656,6.03317,6,771.69,0.916501,0.753401,6.38533,6,
